epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.82207,3.28083,0.23757,0.56906,2.70216,0.000109086,0.000109086,0.000109086
2,17.2968,2.60166,0.60221,0.91713,1.58979,0.000212823,0.000212823,0.000212823
3,25.4807,1.8283,0.79006,0.98343,0.8002,0.000309235,0.000309235,0.000309235
4,33.589,1.19967,0.8895,0.99448,0.43782,0.000300033,0.000300033,0.000300033
5,41.811,0.86458,0.92818,1,0.3174,0.000289044,0.000289044,0.000289044
6,49.9295,0.71471,0.94475,1,0.19243,0.000278055,0.000278055,0.000278055
7,58.2867,0.63608,0.94475,1,0.17609,0.000267066,0.000267066,0.000267066
8,66.4987,0.55534,0.93923,1,0.17564,0.000256077,0.000256077,0.000256077
9,74.5922,0.48999,0.95028,1,0.144,0.000245088,0.000245088,0.000245088
10,83.1034,0.4653,0.96133,1,0.14822,0.000234099,0.000234099,0.000234099
11,91.2102,0.41908,0.9558,1,0.12327,0.00022311,0.00022311,0.00022311
12,99.1747,0.35998,0.98895,1,0.08273,0.000212121,0.000212121,0.000212121
13,107.207,0.37944,0.9779,1,0.07803,0.000201132,0.000201132,0.000201132
14,115.243,0.39329,0.97238,1,0.0867,0.000190143,0.000190143,0.000190143
15,123.174,0.33961,0.96685,1,0.08503,0.000179154,0.000179154,0.000179154
16,131.403,0.32742,0.97238,1,0.0776,0.000168165,0.000168165,0.000168165
17,139.503,0.30368,0.9779,1,0.05717,0.000157176,0.000157176,0.000157176
18,147.578,0.29579,0.97238,1,0.06917,0.000146187,0.000146187,0.000146187
19,155.586,0.27536,0.98895,1,0.05221,0.000135198,0.000135198,0.000135198
20,163.831,0.30679,0.99448,1,0.03243,0.000124209,0.000124209,0.000124209
21,171.91,0.26731,0.99448,1,0.03167,0.00011322,0.00011322,0.00011322
22,180.203,0.24681,0.99448,1,0.03079,0.000102231,0.000102231,0.000102231
23,188.247,0.2545,0.99448,1,0.0315,9.1242e-05,9.1242e-05,9.1242e-05
24,196.31,0.26949,1,1,0.02579,8.0253e-05,8.0253e-05,8.0253e-05
25,204.462,0.24238,0.99448,1,0.03402,6.9264e-05,6.9264e-05,6.9264e-05
26,212.353,0.22872,0.99448,1,0.03035,5.8275e-05,5.8275e-05,5.8275e-05
27,220.388,0.26839,0.99448,1,0.02564,4.7286e-05,4.7286e-05,4.7286e-05
28,228.485,0.21085,1,1,0.03266,3.6297e-05,3.6297e-05,3.6297e-05
29,236.743,0.23986,1,1,0.02719,2.5308e-05,2.5308e-05,2.5308e-05
30,244.668,0.25064,0.99448,1,0.02785,1.4319e-05,1.4319e-05,1.4319e-05
